Rubrique;Indicateur;Valeur;Part
Lignes;"Lignes traitées";603;"100,0 %"
Lignes;"Lignes importées";602;"99,8 %"
Lignes;"Lignes portant au moins une anomalie";603;"100,0 %"
Lignes;"Lignes non importées";1;"0,2 %"
Lignes;"Lignes déjà reprises lors d'un import antérieur";0;"0,0 %"
Transcription;"Lignes en écart de calcul";0;"0,0 %"
Transcription;"Lignes marquées ECART à la source";0;"0,0 %"
Transcription;"Lignes sans artisan identifiable";0;"0,0 %"
Transcription;"Lignes dont la date a dû être reprise ou déduite";100;"16,6 %"
Transcription;"Lignes dont une valeur a été déduite des deux autres";602;"99,8 %"
Artisans;"Écritures distinctes dans le registre";55;—
Artisans;"Écritures regroupées automatiquement";10;"18,2 %"
Artisans;"Écritures restées distinctes";45;"81,8 %"
Artisans;"Rapprochements écartés (sous le seuil de 85,0 %)";0;—
Boutiques;"Écritures distinctes dans le registre";12;—
Boutiques;"Écritures regroupées";0;"0,0 %"
Boutiques;"Emplacements retenus";13;—
Créations;"Artisans créés";40;—
Créations;"Espaces locatifs créés";0;"L'import n'en crée plus depuis le 26/08"
Anomalies;"Espaces nommés au registre mais absents du parc";0;—
Anomalies;"Occupations refusées (espace déjà attribué)";0;"La vente est conservée"
Créations;"Attributions créées";24;—
Créations;"Produits créés";285;—
Créations;"Dépôts créés";602;—
Créations;"Ventes créées";602;—
"À compléter";"Artisans sans secteur d'activité";20;—
"À compléter";"Produits sans catégorie";285;—
"À compléter";"Attributions sans redevance convenue";0;—
"Détail des anomalies";"Quantité déduite du montant et du prix";602;"99,8 %"
"Détail des anomalies";"Code de boutique absent";144;"23,9 %"
"Détail des anomalies";"Aucun espace locatif rattaché à cet artisan";144;"23,9 %"
"Détail des anomalies";"Date reprise de la ligne précédente";100;"16,6 %"
"Détail des anomalies";"Quantité, prix et montant trop lacunaires pour une vente";1;"0,2 %"
