Rubrique;Indicateur;Valeur;Part
Lignes;"Lignes traitées";1149;"100,0 %"
Lignes;"Lignes importées";0;"0,0 %"
Lignes;"Lignes signalées";734;"63,9 %"
Lignes;"Lignes non importées";0;"0,0 %"
Lignes;"Lignes déjà reprises lors d'un import antérieur";1149;"100,0 %"
Transcription;"Lignes en écart de calcul";51;"4,4 %"
Transcription;"Lignes marquées ECART à la source";50;"4,4 %"
Transcription;"Lignes sans artisan identifiable";315;"27,4 %"
Transcription;"Lignes dont la date a dû être reprise ou déduite";334;"29,1 %"
Transcription;"Lignes dont une valeur a été déduite des deux autres";40;"3,5 %"
Artisans;"Écritures distinctes dans le registre";324;—
Artisans;"Écritures regroupées automatiquement";84;"25,9 %"
Artisans;"Écritures restées distinctes";240;"74,1 %"
Artisans;"Rapprochements écartés (sous le seuil de 85,0 %)";42;—
Boutiques;"Écritures distinctes dans le registre";117;—
Boutiques;"Écritures regroupées";70;"59,8 %"
Boutiques;"Emplacements retenus";47;—
Créations;"Artisans créés";0;—
Créations;"Espaces locatifs créés";0;—
Créations;"dont espaces hors parc (boutique technique)";0;—
Créations;"Attributions créées";0;—
Créations;"Produits créés";0;—
Créations;"Dépôts créés";0;—
Créations;"Ventes créées";0;—
"À compléter";"Artisans sans secteur d'activité";0;—
"À compléter";"Produits sans catégorie";0;—
"À compléter";"Attributions sans redevance convenue";0;—
