date,code_boutique_source,code_boutique_normalise,nom_artisan_source,designation,conditionnement,quantite,prix_unitaire,montant,coherence,vendeur_reference
2023-07-31,N° 2,B02,Bassi,Curcuma,,1,1000,1000,OK,déjà Vnx
2023-07-05,Hall,HALL,Gabrielle,Vin d'Avocat / Cuve,Bouteille,3,3000,9000,OK,Payé
2023-07-05,Hall,HALL,,Miel,Bouteille,3,2500,7500,OK,Payé
2023-07-05,Hall,HALL,Noussjou,Chocolat,Boite,2,1000,2000,OK,
2023-07-06,N° 5,B05,Eveline Kuissi,Fève Cacao,Sachet,2,1000,2000,OK,Versé
2023-07-06,N° 3,B03,Noelle K.,Vinaigre,Bouteille,1,175,175,OK,
2023-07-07,N° 2,B02,Mme MEKA,Cacahuète,Bouteille,2,2000,4000,OK,Versé
2023-07-07,N° 4,B04,Mr HUBER,Bracelet,,1,500,500,OK,
2023-07-08,,,,Liqueur d'ail,Bouteille,2,15000,30000,OK,Versé
2023-07-10,N° 1,B01,Mme Sylvie,Charbon actif,,2,1000,2000,OK,Versé
2023-07-10,N° 11,B11,Mambou,Chocolat noir,Boite,2,1000,2000,OK,
2023-07-10,N° 1,B01,Mme Sylvie,Chapeau,,1,5000,5000,OK,
2023-07-11,N° 6,B06,Sidonie,Chocolat,Boite,2,1000,2000,OK,
2023-07-11,N° 6,B06,Sidonie,Pagnier,,1,1000,1000,OK,
2023-07-11,,,,Serviette hygiénique,,1,1500,1500,OK,
2023-07-12,N° 02,B02,M. Dsimmi,NKOUTIN,Carton,1,,,,
2023-07-12,N° 27,B27,Brunildhe,Sirop toux et grippe,,2,2000,4000,OK,Versé
2023-07-12,,,,Miel naturel,,1,1000,1000,OK,
2023-07-12,,,,Miel pur,,1,,,,
2023-07-12,N° 31,B31,Mama Noun,Fève de cacao,,2,,,,
2023-07-12,N° 12,B12,Fideline,Bague,Emballage,1,1000,1000,OK,
2023-07-12,,,,Beurre de cacao,,2,500,1000,OK,
2023-07-12,N° 6,B06,Sidonie,Pagnier,,1,,,,
2023-07-12,N° 1,B01,Mme Noussjou,Chocolat noir,,1,1500,1300,ECART,
2023-07-12,N° 2,B02,Pokam Alain,Miel pur,Boite,1,1000,1000,OK,Versé
2023-07-12,,,Mouliom,Tableau en Bois Ndop,Bouteille,2,1500,3000,OK,Versé
2023-07-12,,,,Masque Gd modèle,,1,10000,10000,OK,
2023-07-12,,,,Masque Petit modèle,Bois,2,20000,40000,OK,Versé
2023-07-12,,,,Chapeau Ndop,Bois,2,10000,20000,OK,Versé
2023-07-13,?,?,Sylvie,Chocolat noir,Boite,1,1000,1000,OK,
2023-07-13,?,?,,Vin lemon,Bouteille,1,4500,4500,OK,Versé
2023-07-13,?,?,,Vin Bellevue,Bouteille,1,,3000,,
2023-07-13,1,B01,,Vin yanis,Bouteille,1,,4500,,
2023-07-13,,,,Yanis tea,Carton,1,2500,2500,OK,Versé
2023-07-13,,,Evelyne,Vin wine,Bouteille,1,2500,2500,OK,Versé
2023-07-13,N° 3,B03,Patate sèche,Fèves de cacao,Plastique,1,1000,1000,OK,Versé
2023-07-13,N° 3,B03,Sylvie,Patate sèche,Boite,1,1000,1000,OK,Cuisine
2023-07-13,,,,Chocolat noir,Boite,1,1000,1000,OK,Cuisine
2023-07-14,N° 3,B03,,Nettoyage de visage,Carton,1,2000,2000,OK,
2023-07-14,N° 3,B03,,Nettoyage de visage,Carton,1,,,,
2023-07-17,N° 13,B13,Djoko,Bracelet Ndop,,3,800,2400,OK,
2023-07-17,N° 13,B13,Djoko,Bracelet,,1,1000,1000,OK,
2023-07-17,N° 2,B02,Djoko,Miel naturel,Bouteille,1,2500,2500,OK,Versé
2023-07-17,N° 13,B13,Rudeline,Collier,,1,3000,3000,OK,
2023-07-17,N° 12,B12,Prielle / Evelyne,Fèves de cacao,Bouteille,1,500,500,OK,
2023-07-17,N° 3,B03,Chire,Sac à dos,,1,1500,1500,OK,
2023-07-17,N° 10,B10,Djoko Alex,Sachet de verveine,Sachet,1,2000,2000,OK,Versé
2023-07-18,N° 2,B02,,Miel naturel,Bouteille,1,1500,1500,OK,
2023-07-20,N° 2,B02,Sylvie,Miel naturel,Bouteille,1,2500,2500,OK,
2023-07-21,N° 2,B02,,Chocolat noir,Boite,1,1000,1000,OK,Versé
2023-07-21,N° 12,B12,Fideline,Chaussures,,1,15000,15000,OK,Versé
2023-07-21,N° 12,B12,Bassie,Miel mangue,Bouteille,1,500,500,OK,
2023-07-24,N° 2,B02,Brunilda,Miel pur,Bouteille,1,3000,3000,OK,
2023-07-24,N° 3,B03,Mère de Natham,Charbon noir,Plastique,1,1000,1000,OK,Versé
2023-07-24,N° 3,B03,,Tisane min,Carton,1,2000,2000,OK,
2023-07-24,N° 2,B02,Brunilda,Miel naturel,Bouteille,1,2500,2500,OK,Versé
2023-07-24,5,B05,Kuissi,Charbon noir,Plastique,1,1000,1000,OK,
2023-07-24,N° 2,B02,Bassie,Vinaigre,Bouteille,3,175,525,OK,
2023-07-25,N° 7,B07,MEKO,Curcuma,Bouteille,1,2000,2000,OK,Versé
2023-07-26,N° 12,B12,,Miel naturel,Bouteille,1,2500,2500,OK,Versé
2023-07-28,N° 3,B03,Kuissi,Serviette hygiénique,,3,500,1500,OK,
2023-07-28,N° 5,B05,Mambou,Fève de cacao,Plastique,1,1000,1000,OK,
2023-07-28,N° 11,B11,Mba joho,Vinaigre,Bouteille,1,175,175,OK,
2023-07-28,N° 13,B13,Mouliom,Chapeau,,1,5000,5000,OK,
2023-07-28,N° 7,B07,,Bracelet,,2,500,1000,OK,
2023-07-28,10,B10,Eric,Sirop de menthe,Boite,2,500,1000,OK,Versé
,N° 3,B03,Boniface,Thé minceur,Sachet,1,5000,5000,OK,500
2023-07-17,N° 1,B01,NGANGA JEAN,Liqueur cacao,Bouteille,1,2000,2000,OK,
2023-07-18,N° 2,B02,JONAS,Liqueur café,Bouteille,1,7500,7500,OK,
2023-07-20,12,B12,MEKA,Bonnet,,1,4500,4500,OK,
2023-07-28,15,B15,Kuissi,Vinaigre,,1,1000,1000,OK,
,,,,,1L,1,300,300,OK,
2023-07-31,03,B03,Evelyne,Cacao,,2,500,1000,OK,1000
2023-07-31,3,B03,Sylvie,Chocolat noir,,1,1000,1000,OK,
2023-07-31,12,B12,MEKA,Bague,,5,500,2500,OK,
2023-07-31,13,B13,,Chapeau Ndop,,2,8000,16000,OK,
2023-08-01,03,B03,Kamamane,Poudre cacao,Sachet,1,1000,1000,OK,
2023-08-01,05,B05,Kuissi,Vinaigre,Bouteille,1,300,300,OK,
2023-08-01,02,B02,,Miel pur,Bouteille,1,1500,1500,OK,
,,,Mère Nathan,Cure de diabète,Carton,1,2000,2000,OK,
2023-08-02,03,B03,Mère Nathan,Miel Roi,Carton,1,1500,1500,OK,
,05,B05,Janvier Jean,Huile d'avocat,Boite,1,2500,2500,OK,
,,,Kuissi,Miel,Bouteille,1,3500,3500,OK,
2023-08-03,01,B01,Philippe,Poudre de bétaïda / Vin de bétaïda,Bouteille,1,2500,2500,OK,
